ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate,zeros,zeros+1
28,1914,high school,44890.0,3.5,3.3,6,0,12
26,2004,bachelor's degree,83394.0,3.7,3.3,4,0,8
28,2003,bachelor's degree,64362.0,3.6,3.5,7,0,14
27,1896,some high school,55887.0,3.6,3.1,7,0,14
28,1897,high school,55399.0,3.5,3.2,4,0,8
30,1985,some college,81840.0,3.8,3.5,4,0,8
27,1916,some college,67994.0,3.5,3.3,4,0,8
32,2328,bachelor's degree,59035.0,4.0,3.3,5,0,10
26,1750,some high school,45142.0,3.2,3.4,4,0,8
30,2018,some high school,58297.0,3.9,3.3,7,0,14
29,2013,high school,91228.0,3.7,3.4,4,0,8
32,2075,associate's degree,61446.0,4.0,3.4,8,0,16
25,1891,some college,71120.0,3.4,3.2,4,0,8
30,2014,some college,45340.0,3.9,3.0,6,0,12
28,1938,some high school,19452.0,3.7,2.9,6,0,12
30,2154,high school,59045.0,4.0,3.6,4,0,8
32,2111,high school,82362.0,4.0,3.8,3,0,6
31,2161,associate's degree,92230.0,4.0,3.8,3,0,6
29,2104,some college,81195.0,4.0,3.5,4,0,8
29,2042,master's degree,102364.0,3.9,3.2,7,0,14
25,1854,high school,37021.0,3.3,2.8,9,0,18
34,2250,master's degree,86656.0,4.0,3.2,5,0,10
28,1888,high school,48701.0,3.7,3.2,5,0,10
27,1931,some college,46610.0,3.7,3.1,6,0,12
30,2081,associate's degree,71530.0,3.9,3.6,3,0,6
31,2016,associate's degree,74128.0,3.9,3.3,5,0,10
29,2018,some college,48783.0,3.9,3.4,7,0,14
36,2358,master's degree,94092.0,4.0,3.7,7,0,14
31,2171,some college,57107.0,4.0,3.5,4,0,8
28,2055,associate's degree,75310.0,3.8,3.7,5,0,10
27,1943,some college,77835.0,3.7,3.2,9,0,18
24,1791,master's degree,101397.0,3.2,3.3,4,0,8
28,1925,some high school,49750.0,3.6,3.3,8,0,16
21,1628,some high school,36769.0,2.8,3.1,6,0,12
28,2024,bachelor's degree,80024.0,4.0,3.3,6,0,12
27,1934,some high school,71045.0,3.4,3.4,5,0,10
26,1855,associate's degree,76883.0,3.5,3.5,8,0,16
25,1880,some high school,27165.0,3.3,3.1,5,0,10
27,1797,some high school,55458.0,3.3,3.2,4,0,8
33,2222,bachelor's degree,95449.0,4.0,3.6,4,0,8
31,2053,bachelor's degree,102696.0,4.0,3.6,8,0,16
26,1797,some high school,55366.0,3.4,3.3,4,0,8
32,2171,associate's degree,76111.0,4.0,3.4,5,0,10
26,1888,some high school,42848.0,3.5,3.3,5,0,10
34,2185,high school,101013.0,4.0,3.6,6,0,12
26,2007,some high school,36811.0,3.7,3.3,8,0,16
32,2165,bachelor's degree,74655.0,4.0,3.2,5,0,10
31,2135,associate's degree,79017.0,4.0,3.6,4,0,8
31,2024,some college,84826.0,4.0,3.7,7,0,14
35,2273,master's degree,93051.0,4.0,3.8,5,0,10
27,2016,associate's degree,74430.0,3.9,3.5,5,0,10
28,1980,some college,59923.0,3.8,2.9,7,0,14
31,2081,high school,75411.0,3.9,3.8,4,0,8
25,1852,bachelor's degree,93113.0,3.4,3.5,4,0,8
29,2058,associate's degree,74172.0,4.0,3.4,7,0,14
30,2017,associate's degree,56874.0,3.9,3.3,4,0,8
28,1954,associate's degree,89951.0,3.7,3.6,4,0,8
31,2193,associate's degree,85118.0,4.0,3.6,8,0,16
34,2192,some college,30934.0,4.0,3.5,6,0,12
26,1969,high school,74692.0,3.7,3.0,7,0,14
25,1747,some high school,48398.0,3.2,3.2,5,0,10
27,1945,high school,59506.0,3.5,3.5,7,0,14
26,1869,bachelor's degree,89105.0,3.5,3.5,6,0,12
26,1933,some high school,53021.0,3.6,3.6,4,0,8
29,1991,high school,63309.0,3.8,3.2,7,0,14
27,1913,some high school,57252.0,3.6,3.5,3,0,6
29,2049,some high school,59398.0,3.8,3.4,4,0,8
33,2230,some college,81075.0,4.0,3.6,4,0,8
32,2077,some college,77575.0,4.0,3.2,8,0,16
28,1971,associate's degree,71186.0,3.8,3.4,4,0,8
29,2094,master's degree,91724.0,3.9,3.5,4,0,8
27,1903,some high school,46053.0,3.5,3.3,5,0,10
28,2120,high school,38167.0,3.9,3.6,6,0,12
29,2107,some college,42981.0,3.9,3.2,9,0,18
27,1922,high school,42724.0,3.5,3.1,6,0,12
31,1998,some high school,72599.0,3.9,3.1,7,0,14
28,2113,some college,98997.0,4.0,3.8,3,0,6
24,1739,some high school,44323.0,3.0,2.6,9,0,18
31,2084,master's degree,90239.0,4.0,3.5,5,0,10
31,2034,associate's degree,102942.0,4.0,3.5,4,0,8
27,1980,high school,53177.0,3.6,3.1,6,0,12
30,2028,some college,73172.0,4.0,3.4,4,0,8
32,2006,associate's degree,73173.0,4.0,3.3,6,0,12
28,2001,some college,63108.0,3.8,3.5,5,0,10
32,2159,some college,59782.0,4.0,3.4,4,0,8
28,1933,some high school,50333.0,3.6,3.0,5,0,10
28,1960,some high school,25347.0,3.5,3.1,5,0,10
29,2136,associate's degree,94534.0,4.0,3.6,4,0,8
32,2159,associate's degree,58995.0,4.0,3.6,4,0,8
29,2021,bachelor's degree,107584.0,3.7,3.2,6,0,12
28,1895,some high school,46871.0,3.5,3.3,7,0,14
32,2154,some college,70905.0,4.0,3.4,4,0,8
29,2050,associate's degree,49212.0,4.0,3.4,8,0,16
30,2079,some college,97216.0,4.0,3.7,5,0,10
30,1921,high school,80039.0,3.7,3.4,8,0,16
28,2094,master's degree,97638.0,3.9,3.6,6,0,12
22,1764,some high school,28149.0,3.0,3.1,5,0,10
30,2041,some college,67357.0,3.8,3.2,5,0,10
32,2141,some college,68337.0,4.0,3.6,4,0,8
25,1958,associate's degree,65779.0,3.4,3.4,5,0,10
30,2171,bachelor's degree,82445.0,4.0,3.5,6,0,12
31,2109,high school,20293.0,3.9,3.3,5,0,10
23,1765,high school,63831.0,3.2,3.0,9,0,18
23,1621,high school,51278.0,3.0,3.1,5,0,10
27,1864,some high school,69211.0,3.3,3.1,4,0,8
27,1893,some college,56630.0,3.3,3.2,4,0,8
28,2017,some college,62150.0,3.8,3.2,4,0,8
26,1832,some high school,28863.0,3.3,3.0,6,0,12
28,1976,some high school,47700.0,3.6,3.1,7,0,14
33,2279,bachelor's degree,73979.0,4.0,3.5,4,0,8
28,1869,some high school,61208.0,3.3,3.1,4,0,8
26,1934,some college,75008.0,3.6,3.2,5,0,10
27,1952,some college,97194.0,3.5,3.4,4,0,8
25,1851,some college,68296.0,3.4,3.1,5,0,10
29,1979,associate's degree,74620.0,3.8,3.5,4,0,8
22,1711,some college,65491.0,2.9,3.1,6,0,12
30,2120,some college,75846.0,4.0,3.3,6,0,12
27,1924,associate's degree,82191.0,3.6,3.5,4,0,8
33,2248,associate's degree,66233.0,4.0,3.7,6,0,12
31,2037,associate's degree,59896.0,3.9,3.3,4,0,8
29,2041,some high school,61264.0,3.8,3.6,6,0,12
27,2010,associate's degree,64341.0,3.7,3.3,5,0,10
31,2079,bachelor's degree,70454.0,3.9,3.6,3,0,6
28,1982,associate's degree,69881.0,3.7,3.6,3,0,6
25,1758,some high school,46564.0,3.2,2.8,6,0,12
28,1961,some college,75540.0,3.8,3.2,6,0,12
27,1959,some high school,54414.0,3.7,3.6,3,0,6
29,1981,some college,83983.0,3.8,3.7,5,0,10
30,2027,some college,35814.0,3.7,3.2,9,0,18
30,1991,high school,78999.0,3.8,3.4,9,0,18
26,1758,some college,54200.0,3.3,3.3,4,0,8
28,2085,bachelor's degree,87107.0,3.8,3.4,4,0,8
27,1813,some high school,41688.0,3.3,3.1,5,0,10
32,2126,master's degree,79024.0,4.0,3.7,3,0,6
23,1702,high school,53472.0,3.0,2.9,5,0,10
25,1843,some high school,73667.0,3.2,3.2,4,0,8
28,1941,associate's degree,54945.0,3.7,3.5,3,0,6
31,2051,master's degree,85519.0,4.0,3.6,4,0,8
30,2017,some high school,79680.0,3.9,3.8,5,0,10
24,1805,some college,69015.0,3.3,3.5,3,0,6
27,1902,high school,71504.0,3.5,3.7,3,0,6
24,1820,some college,73259.0,3.2,3.5,4,0,8
25,1816,some high school,65988.0,3.3,2.9,5,0,10
25,1749,some high school,45852.0,3.1,3.3,4,0,8
27,1990,master's degree,112869.0,3.7,3.7,4,0,8
33,2224,master's degree,91722.0,4.0,4.0,3,0,6
31,2121,master's degree,72604.0,4.0,3.6,5,0,10
27,1860,some high school,43246.0,3.5,3.3,6,0,12
28,1941,some high school,72922.0,3.6,3.5,4,0,8
24,1772,high school,30363.0,3.1,2.8,7,0,14
34,2198,associate's degree,56683.0,4.0,3.7,3,0,6
30,1996,bachelor's degree,74939.0,3.9,3.3,4,0,8
28,2043,some college,57005.0,3.7,3.4,5,0,10
31,2056,some college,79877.0,4.0,3.3,5,0,10
36,2270,associate's degree,50569.0,4.0,3.7,3,0,6
30,2093,associate's degree,83434.0,3.9,3.5,4,0,8
30,1951,high school,57537.0,3.8,3.4,6,0,12
29,1944,some college,97086.0,3.8,3.4,4,0,8
27,2023,bachelor's degree,48266.0,3.9,3.2,8,0,16
23,1806,some high school,86335.0,3.2,3.4,7,0,14
29,2015,high school,60620.0,3.8,3.3,8,0,16
29,1939,associate's degree,81465.0,3.8,3.5,4,0,8
27,1828,high school,40029.0,3.4,3.0,6,0,12
31,2200,some high school,53254.0,4.0,3.7,3,0,6
27,2051,some high school,38891.0,3.7,3.5,5,0,10
27,1877,some college,65190.0,3.6,3.0,6,0,12
31,2173,associate's degree,104267.0,4.0,3.5,6,0,12
26,2015,some college,79807.0,3.7,3.7,3,0,6
25,1797,some high school,64254.0,3.3,3.2,4,0,8
29,2089,associate's degree,46093.0,3.9,3.4,5,0,10
33,2190,master's degree,88066.0,4.0,3.8,5,0,10
28,1913,high school,72890.0,3.5,3.0,5,0,10
30,2084,master's degree,60542.0,4.0,3.3,5,0,10
28,1965,some college,55937.0,3.8,3.2,6,0,12
25,1924,some college,61445.0,3.5,3.4,3,0,6
30,2068,bachelor's degree,78028.0,3.9,3.3,4,0,8
35,2366,associate's degree,47287.0,4.0,3.5,5,0,10
30,2058,associate's degree,85006.0,4.0,3.5,5,0,10
28,1972,high school,30155.0,3.6,3.5,4,0,8
33,2183,associate's degree,78059.0,4.0,3.6,8,0,16
29,2112,bachelor's degree,66927.0,3.9,3.5,4,0,8
25,1987,some college,71225.0,3.7,3.6,4,0,8
29,2111,some college,88025.0,3.9,3.6,4,0,8
30,2165,associate's degree,71615.0,4.0,3.5,8,0,16
28,1942,high school,46019.0,3.8,3.4,5,0,10
27,2063,master's degree,85553.0,4.0,3.7,3,0,6
20,1608,some high school,22068.0,2.8,2.7,6,0,12
27,1858,associate's degree,87625.0,3.4,3.7,3,0,6
29,1953,high school,47558.0,3.7,3.5,4,0,8
31,2147,some college,58622.0,4.0,3.3,4,0,8
29,2010,high school,49923.0,3.8,3.4,6,0,12
32,2133,some college,87530.0,4.0,3.6,4,0,8
32,2180,some college,43207.0,4.0,3.4,5,0,10
29,2088,bachelor's degree,77766.0,3.9,3.4,8,0,16
31,2107,some high school,52653.0,4.0,3.2,6,0,12
31,2061,master's degree,118989.0,3.9,3.5,4,0,8
28,2028,high school,35836.0,3.6,3.3,9,0,18
28,1907,high school,59330.0,3.6,2.9,9,0,18
27,1862,high school,57643.0,3.5,3.1,5,0,10
27,1887,associate's degree,78450.0,3.5,3.4,4,0,8
27,1848,high school,81577.0,3.4,3.4,4,0,8
26,1908,some college,35642.0,3.5,3.2,8,0,16
32,2191,some college,61567.0,4.0,3.2,5,0,10
30,2008,some high school,54647.0,3.8,3.0,5,0,10
25,1722,some high school,31233.0,3.1,2.7,10,0,20
26,1938,some college,75639.0,3.6,3.1,5,0,10
27,1983,high school,51832.0,3.6,3.1,6,0,12
30,1951,master's degree,91178.0,3.7,3.8,4,0,8
30,2096,some college,75559.0,4.0,3.5,4,0,8
29,2009,some college,76925.0,3.8,3.7,4,0,8
27,1971,high school,65163.0,3.6,3.5,4,0,8
26,1698,some high school,21693.0,3.1,2.8,6,0,12
26,1876,some college,60782.0,3.5,3.3,4,0,8
25,1809,high school,53205.0,3.2,3.0,5,0,10
23,1693,some high school,67457.0,3.1,3.2,5,0,10
28,1857,high school,90919.0,3.5,3.3,4,0,8
30,2120,master's degree,84474.0,4.0,3.5,4,0,8
30,2150,master's degree,90677.0,3.9,3.7,4,0,8
29,2018,some high school,37103.0,3.7,2.9,6,0,12
34,2349,master's degree,96281.0,4.0,3.6,5,0,10
26,1806,high school,42594.0,3.2,3.3,5,0,10
29,2042,high school,53314.0,3.8,3.4,6,0,12
32,2230,some college,87672.0,4.0,3.6,5,0,10
29,2011,master's degree,87878.0,3.7,3.6,3,0,6
30,2032,high school,56946.0,3.9,3.5,4,0,8
26,1965,some high school,58196.0,3.6,3.2,4,0,8
32,2213,associate's degree,63353.0,4.0,3.4,5,0,10
25,1850,master's degree,94537.0,3.4,3.4,4,0,8
25,1763,some high school,52691.0,3.2,2.9,7,0,14
24,1858,associate's degree,70951.0,3.5,3.4,4,0,8
28,2021,some college,66483.0,3.8,3.4,4,0,8
30,2093,associate's degree,84406.0,3.9,3.2,9,0,18
29,1967,some college,92666.0,3.7,3.5,4,0,8
28,2029,bachelor's degree,86592.0,3.8,3.4,6,0,12
28,1910,associate's degree,64312.0,3.5,3.2,4,0,8
29,2002,high school,39052.0,3.8,3.0,8,0,16
22,1708,some high school,62473.0,3.0,3.2,4,0,8
30,1944,some college,66367.0,3.7,3.7,3,0,6
26,1823,high school,73136.0,3.3,3.6,3,0,6
27,1965,high school,50732.0,3.7,3.1,5,0,10
28,1949,some college,57523.0,3.8,3.3,5,0,10
26,1956,some college,89273.0,3.5,3.4,4,0,8
27,1822,high school,64070.0,3.3,3.2,4,0,8
30,2055,high school,64220.0,3.9,3.5,4,0,8
27,1921,some high school,41526.0,3.6,3.4,4,0,8
34,2252,associate's degree,85873.0,4.0,3.3,8,0,16
24,1787,some high school,80078.0,3.2,3.0,7,0,14
32,2130,associate's degree,65608.0,4.0,3.8,3,0,6
26,1756,high school,82890.0,3.1,3.2,4,0,8
28,1876,some high school,26765.0,3.5,3.0,6,0,12
24,1832,some college,74517.0,3.2,2.8,5,0,10
28,1887,some high school,70911.0,3.5,3.6,3,0,6
34,2028,high school,34307.0,4.0,3.4,5,0,10
29,2071,associate's degree,76588.0,4.0,3.5,4,0,8
31,2262,high school,67931.0,4.0,3.9,3,0,6
26,1864,some high school,69374.0,3.3,3.2,4,0,8
31,2171,bachelor's degree,74624.0,4.0,3.6,6,0,12
26,1915,some college,47708.0,3.4,3.3,5,0,10
31,2110,some college,86905.0,4.0,3.7,4,0,8
23,1730,some college,79088.0,3.1,3.2,4,0,8
24,1770,some high school,67819.0,3.2,2.9,5,0,10
27,1880,high school,48219.0,3.4,3.2,5,0,10
22,1632,some college,86108.0,3.0,3.2,4,0,8
27,1894,some college,64409.0,3.6,3.2,8,0,16
28,1979,some college,46444.0,3.7,3.2,6,0,12
24,1851,bachelor's degree,63769.0,3.4,3.2,4,0,8
29,2097,associate's degree,69144.0,3.9,3.2,6,0,12
26,1937,associate's degree,77075.0,3.7,3.1,5,0,10
26,1918,associate's degree,84055.0,3.5,3.1,5,0,10
31,2111,associate's degree,72953.0,4.0,3.3,5,0,10
31,2098,associate's degree,64111.0,4.0,3.2,6,0,12
27,2008,bachelor's degree,98627.0,3.7,3.6,3,0,6
29,2069,associate's degree,56945.0,3.9,3.4,4,0,8
24,1806,high school,39618.0,3.2,3.0,6,0,12
27,1796,high school,83890.0,3.4,3.4,4,0,8
32,2207,master's degree,85878.0,4.0,3.6,4,0,8
23,1782,some high school,46944.0,3.2,3.1,5,0,10
28,2086,some college,51907.0,3.9,3.1,5,0,10
22,1681,some college,56351.0,3.0,3.4,3,0,6
33,2141,associate's degree,80407.0,4.0,3.6,4,0,8
30,1982,high school,36619.0,3.8,3.3,8,0,16
27,2033,associate's degree,83212.0,3.7,3.7,3,0,6
32,2244,associate's degree,78061.0,4.0,3.6,4,0,8
27,1982,associate's degree,70118.0,3.7,3.4,5,0,10
33,2238,some college,74347.0,4.0,3.9,3,0,6
20,1694,associate's degree,80617.0,3.0,3.3,4,0,8
28,1971,high school,61184.0,3.6,3.3,4,0,8
26,1848,high school,48558.0,3.4,3.3,5,0,10
24,1800,associate's degree,84093.0,3.3,3.2,4,0,8
29,2129,high school,52549.0,3.9,3.3,4,0,8
29,1910,high school,44729.0,3.8,3.3,5,0,10
32,2238,master's degree,72474.0,4.0,3.8,3,0,6
34,2363,master's degree,77473.0,4.0,3.3,5,0,10
32,2143,high school,56364.0,4.0,3.6,3,0,6
31,2134,bachelor's degree,72768.0,4.0,3.4,5,0,10
27,1895,some high school,46295.0,3.5,3.4,4,0,8
29,2013,some high school,49006.0,3.9,3.1,7,0,14
26,1943,some high school,33333.0,3.5,3.3,5,0,10
28,2004,master's degree,90072.0,3.8,3.6,4,0,8
30,1967,high school,85359.0,3.9,3.7,5,0,10
33,2225,associate's degree,81539.0,4.0,3.5,4,0,8
32,2171,master's degree,58603.0,4.0,3.6,4,0,8
27,1853,high school,72142.0,3.5,3.1,5,0,10
31,2092,bachelor's degree,80059.0,3.9,3.3,4,0,8
25,1901,bachelor's degree,79227.0,3.5,3.0,6,0,12
34,2226,high school,53749.0,4.0,3.7,5,0,10
31,2193,bachelor's degree,71108.0,4.0,3.5,4,0,8
34,2251,associate's degree,82072.0,4.0,3.8,3,0,6
31,2075,high school,34111.0,3.9,3.2,6,0,12
29,2031,associate's degree,63286.0,3.8,3.2,7,0,14
27,1918,high school,62234.0,3.5,3.2,5,0,10
28,2035,some college,80320.0,3.9,3.6,5,0,10
29,2005,high school,52549.0,3.7,3.6,7,0,14
28,1930,some high school,42407.0,3.7,3.1,5,0,10
30,1985,high school,52614.0,3.7,3.5,3,0,6
32,2015,some college,82577.0,4.0,3.4,6,0,12
26,1737,some college,79784.0,3.3,2.9,7,0,14
32,2160,high school,38335.0,4.0,3.8,4,0,8
33,2076,some high school,31912.0,4.0,3.3,5,0,10
29,1959,some college,63813.0,3.7,3.3,5,0,10
29,2007,bachelor's degree,66357.0,3.9,3.4,4,0,8
30,2021,associate's degree,59004.0,3.9,3.3,5,0,10
30,2050,some high school,76968.0,3.9,3.5,4,0,8
30,2067,high school,35618.0,3.8,3.3,7,0,14
35,2385,master's degree,80609.0,4.0,3.6,4,0,8
28,1988,some high school,59903.0,3.8,3.5,5,0,10
33,2314,master's degree,100428.0,4.0,3.8,4,0,8
31,2126,some high school,66851.0,3.9,3.3,5,0,10
31,2083,bachelor's degree,81636.0,4.0,3.6,4,0,8
32,2298,some college,59984.0,4.0,3.5,4,0,8
27,1850,associate's degree,44588.0,3.5,3.5,4,0,8
31,2121,master's degree,89924.0,4.0,3.4,6,0,12
25,1808,some high school,49546.0,3.3,3.4,6,0,12
27,1941,high school,75373.0,3.7,3.3,4,0,8
26,1927,some high school,43886.0,3.5,3.4,4,0,8
29,2040,master's degree,85883.0,3.8,3.3,6,0,12
29,1965,some high school,53011.0,3.6,3.1,5,0,10
29,2032,some high school,31567.0,3.8,3.0,6,0,12
31,2144,associate's degree,75148.0,4.0,3.4,6,0,12
28,1893,high school,73083.0,3.5,3.2,8,0,16
31,1993,associate's degree,67003.0,3.9,3.4,4,0,8
31,2126,bachelor's degree,81538.0,4.0,3.5,6,0,12
31,2083,some high school,50718.0,4.0,3.2,5,0,10
29,2018,some college,56317.0,3.9,3.2,6,0,12
31,2049,master's degree,84720.0,4.0,3.8,5,0,10
24,1818,some college,55436.0,3.1,3.3,4,0,8
29,1977,associate's degree,61542.0,3.6,3.3,4,0,8
28,1950,some high school,42932.0,3.7,3.3,5,0,10
31,2146,high school,51450.0,4.0,3.6,3,0,6
25,1809,some college,53982.0,3.3,3.0,5,0,10
28,1875,some college,50275.0,3.4,3.3,6,0,12
23,1729,some college,84008.0,3.1,3.2,4,0,8
33,2133,associate's degree,68917.0,4.0,3.3,6,0,12
27,1959,some college,64516.0,3.7,3.5,3,0,6
27,1895,some high school,39502.0,3.5,3.1,7,0,14
30,2026,high school,53769.0,3.8,3.2,6,0,12
28,1956,high school,25617.0,3.7,3.0,6,0,12
32,2089,some college,56364.0,4.0,3.2,5,0,10
34,2349,master's degree,109654.0,4.0,3.8,4,0,8
29,1981,some college,59565.0,3.8,3.3,4,0,8
27,1911,associate's degree,59688.0,3.5,3.3,4,0,8
32,2205,high school,60466.0,4.0,3.6,4,0,8
28,1929,some college,81427.0,3.5,3.2,4,0,8
25,1869,master's degree,87517.0,3.3,3.3,5,0,10
31,2204,bachelor's degree,50665.0,4.0,3.4,4,0,8
31,2150,high school,40013.0,4.0,3.4,6,0,12
27,1897,master's degree,97789.0,3.6,3.7,3,0,6
31,2079,associate's degree,61450.0,4.0,3.6,4,0,8
28,1960,some college,77952.0,3.8,2.9,8,0,16
29,1958,some college,70174.0,3.6,3.6,3,0,6
27,1965,high school,51953.0,3.5,3.5,3,0,6
27,1943,bachelor's degree,82909.0,3.6,3.4,7,0,14
25,1956,some college,64730.0,3.5,3.1,6,0,12
28,1892,associate's degree,65464.0,3.6,3.4,5,0,10
23,1783,high school,43626.0,3.1,3.0,6,0,12
30,2032,some college,43995.0,4.0,3.2,6,0,12
29,2073,some high school,66481.0,3.8,3.1,5,0,10
35,2318,bachelor's degree,52589.0,4.0,3.4,5,0,10
28,2084,bachelor's degree,83638.0,3.9,3.3,5,0,10
28,1860,some high school,64459.0,3.6,2.9,8,0,16
27,1900,high school,68541.0,3.4,3.3,4,0,8
30,2059,associate's degree,71283.0,4.0,3.8,3,0,6
28,2065,bachelor's degree,93133.0,3.8,3.2,5,0,10
28,1994,associate's degree,56549.0,3.7,3.7,4,0,8
25,1826,bachelor's degree,84786.0,3.3,3.2,4,0,8
27,1888,some college,67528.0,3.5,3.3,4,0,8
32,2259,master's degree,110514.0,4.0,4.0,4,0,8
31,2006,some high school,79454.0,3.9,3.6,6,0,12
27,1899,associate's degree,72260.0,3.5,3.2,4,0,8
30,2125,some college,91690.0,4.0,3.4,5,0,10
30,2148,associate's degree,103454.0,4.0,3.9,4,0,8
26,1908,some college,79534.0,3.5,3.2,5,0,10
30,2048,some college,50812.0,4.0,3.2,7,0,14
26,1918,some college,82517.0,3.6,3.4,4,0,8
33,2222,high school,65458.0,4.0,3.6,4,0,8
26,1801,some high school,33454.0,3.3,2.8,6,0,12
31,2059,some high school,44034.0,4.0,3.4,5,0,10
27,1858,some college,26848.0,3.3,3.1,6,0,12
31,2024,bachelor's degree,84455.0,3.9,3.5,4,0,8
30,1982,high school,75946.0,3.8,3.3,4,0,8
33,2298,associate's degree,63096.0,4.0,3.5,7,0,14
26,1907,associate's degree,80839.0,3.5,3.1,5,0,10
28,2026,master's degree,108037.0,3.9,3.4,8,0,16
30,2150,high school,48393.0,4.0,3.5,5,0,10
30,2116,some high school,49348.0,4.0,3.4,5,0,10
26,1884,high school,44485.0,3.4,3.3,5,0,10
30,2079,master's degree,98252.0,4.0,3.6,6,0,12
29,2143,some college,80679.0,3.9,3.4,5,0,10
34,2282,master's degree,83338.0,4.0,3.3,5,0,10
27,1873,some high school,55105.0,3.3,3.3,6,0,12
29,2155,associate's degree,85153.0,4.0,3.4,9,0,18
28,1964,high school,39663.0,3.6,3.3,6,0,12
25,1763,some high school,63280.0,3.2,3.1,7,0,14
30,2193,some college,48459.0,4.0,3.0,7,0,14
31,2115,associate's degree,59131.0,4.0,3.5,6,0,12
34,2108,high school,86692.0,4.0,4.0,3,0,6
27,1817,some high school,48466.0,3.3,3.2,9,0,18
32,2164,high school,74259.0,4.0,3.5,4,0,8
34,2282,bachelor's degree,48097.0,4.0,3.6,7,0,14
31,2169,master's degree,97545.0,4.0,3.5,5,0,10
25,1861,associate's degree,68765.0,3.4,3.3,4,0,8
32,2126,high school,71585.0,4.0,3.0,6,0,12
24,1889,some high school,64787.0,3.4,3.2,4,0,8
32,2219,associate's degree,83758.0,4.0,3.7,4,0,8
28,1965,associate's degree,78461.0,3.7,3.3,4,0,8
33,2225,associate's degree,77779.0,4.0,3.9,4,0,8
28,1910,some high school,66871.0,3.7,3.2,7,0,14
30,2129,some college,40394.0,4.0,3.1,6,0,12
29,1968,high school,46521.0,3.7,3.3,5,0,10
28,1983,associate's degree,62703.0,3.5,3.5,4,0,8
22,1834,some high school,79630.0,3.2,3.4,4,0,8
27,1897,high school,81054.0,3.5,3.5,6,0,12
34,2323,master's degree,89141.0,4.0,3.7,4,0,8
32,2098,some college,42566.0,4.0,3.3,8,0,16
28,1887,associate's degree,63006.0,3.5,3.2,6,0,12
31,2044,associate's degree,94412.0,3.9,3.8,7,0,14
27,1852,some high school,55093.0,3.5,3.1,6,0,12
32,2155,high school,18906.0,4.0,3.5,8,0,16
29,1988,bachelor's degree,81961.0,3.7,3.4,6,0,12
30,2109,bachelor's degree,98623.0,4.0,3.6,4,0,8
33,2204,high school,61916.0,4.0,3.6,6,0,12
30,1981,bachelor's degree,72572.0,3.7,3.6,3,0,6
25,1750,high school,78459.0,3.3,3.5,4,0,8
28,1908,some high school,54293.0,3.5,3.2,5,0,10
26,1865,some high school,40267.0,3.4,2.9,8,0,16
28,2000,high school,75673.0,3.9,3.4,6,0,12
31,2102,some college,85721.0,4.0,3.5,6,0,12
27,1945,high school,48537.0,3.5,3.3,6,0,12
28,1927,high school,58702.0,3.6,3.3,4,0,8
28,2000,bachelor's degree,70816.0,3.7,3.3,6,0,12
31,2118,some college,68920.0,4.0,3.3,5,0,10
31,2204,some college,73901.0,4.0,3.7,5,0,10
28,2123,master's degree,82476.0,4.0,3.6,4,0,8
27,1885,some high school,54088.0,3.6,3.0,5,0,10
29,2015,high school,96832.0,3.6,3.4,6,0,12
34,2374,bachelor's degree,50925.0,4.0,3.8,3,0,6
31,2085,bachelor's degree,38866.0,4.0,3.3,5,0,10
26,1817,some college,92025.0,3.3,3.6,4,0,8
28,1976,high school,57798.0,3.7,3.5,4,0,8
31,2033,master's degree,77510.0,3.9,3.3,4,0,8
30,2074,high school,43020.0,3.8,3.1,6,0,12
34,2246,some college,57397.0,4.0,3.1,5,0,10
28,2028,some high school,68442.0,3.8,3.4,8,0,16
24,1757,some high school,48225.0,3.1,3.3,4,0,8
24,1804,high school,72775.0,3.1,2.9,5,0,10
26,1899,high school,57917.0,3.3,3.2,5,0,10
25,1968,associate's degree,78025.0,3.6,3.5,5,0,10
30,2023,some college,63872.0,3.9,3.6,4,0,8
26,1896,master's degree,92667.0,3.5,3.6,3,0,6
33,2233,some college,60098.0,4.0,3.4,4,0,8
28,1849,some college,29641.0,3.5,2.9,6,0,12
32,2250,some college,75126.0,4.0,3.7,7,0,14
26,1819,high school,56416.0,3.3,3.4,5,0,10
33,2157,associate's degree,51253.0,4.0,3.7,3,0,6
30,2177,associate's degree,75373.0,4.0,3.4,5,0,10
26,1850,some college,62873.0,3.3,3.2,4,0,8
33,2165,high school,84996.0,4.0,3.6,5,0,10
28,2054,bachelor's degree,88598.0,3.8,3.3,5,0,10
25,1738,high school,66814.0,3.2,3.2,6,0,12
31,2166,bachelor's degree,72184.0,4.0,3.3,4,0,8
27,2039,bachelor's degree,76601.0,3.9,3.6,6,0,12
28,2018,some college,72571.0,3.9,3.4,4,0,8
27,1901,associate's degree,64516.0,3.4,3.5,3,0,6
28,1894,some high school,57339.0,3.7,3.2,4,0,8
28,1900,associate's degree,71645.0,3.6,3.4,4,0,8
30,2071,bachelor's degree,83717.0,3.9,3.5,4,0,8
33,2213,associate's degree,63932.0,4.0,3.6,5,0,10
29,2137,bachelor's degree,80557.0,4.0,2.8,7,0,14
30,2035,associate's degree,83803.0,4.0,3.7,4,0,8
28,2068,some high school,67571.0,3.8,3.4,6,0,12
